index,age,weight_lbs,temperature,heart_rate_bpm,resp_rate_bpm,mm,crt,mentation,vomiting,diarrhea,inappetence,lethargic,lameness,muscle_pain,joint_swelling,reported_weight_loss,skin_condition,is_4dx_tested
9277,13,77,102,155,138,1,3,2,3,3,1,2,0,2,2,0,0,Negative
9283,0.08333333333333333,31,99,155,32,1,3,1,1,1,2,2,0,2,0,0,2,Negative
9284,2,63,104,136,139,2,0,4,1,3,1,0,1,1,1,0,2,Positive
9289,1,6,102,110,144,2,0,2,3,3,2,0,0,2,2,0,2,Negative
9290,1,29,102,107,150,2,0,4,3,3,0,0,0,2,2,0,2,Negative
9292,2,8,99,116,42,1,3,1,1,1,0,2,0,1,2,0,2,Negative
9307,0.75,86,101,184,21,2,0,1,1,1,2,0,0,0,0,0,1,Negative
9308,2,18,101,93,44,2,2,2,1,3,2,2,0,2,2,0,2,Negative
9312,13,70,103,143,27,2,0,2,1,1,3,1,0,0,0,1,2,Positive
9314,3,10,102,185,125,2,0,4,3,3,2,0,0,0,2,0,2,Negative
9317,0.07692307692307693,60,102,100,122,2,0,1,3,3,2,0,0,2,0,0,2,Negative
9321,0.8333333333333334,59,102,162,44,2,0,2,3,3,2,2,0,2,2,0,2,Negative
9323,12,33,103,166,133,1,3,1,1,3,0,2,0,1,1,0,2,Positive
9325,4,23,102,153,22,0,0,1,1,2,2,0,0,2,2,0,2,Negative
9326,2,17,105,133,30,2,2,1,1,2,0,0,1,2,0,0,3,Positive
9328,7,90,101,183,20,2,0,4,1,3,2,0,0,2,2,1,2,Negative
9330,4,45,101,114,27,0,2,4,1,1,2,0,0,2,2,1,2,Negative
9334,0.019230769230769232,62,100,112,54,2,1,1,1,3,2,2,0,2,0,0,0,Negative
9335,0.019230769230769232,27,100,137,55,2,2,4,3,3,2,0,0,2,2,0,2,Negative
9342,0.5,55,100,114,52,2,1,4,1,3,2,2,0,2,2,0,2,Negative
9344,2,76,99,170,33,2,2,4,1,3,1,2,0,2,2,0,2,Negative
9345,0.6666666666666666,16,101,163,38,2,1,4,1,1,2,1,0,2,2,0,2,Negative
9346,0.08333333333333333,123,102,138,24,1,3,1,3,1,2,2,0,2,2,0,2,Negative
9350,5,68,102,174,44,2,0,1,2,1,0,0,0,2,2,0,2,Negative
9354,1,76,102,131,33,2,2,4,2,3,2,0,0,2,0,0,2,Negative
9355,7,68,99,95,49,2,2,0,1,2,2,2,0,2,2,0,2,Negative
9361,3,7,104,110,46,2,0,1,1,1,0,0,0,2,0,0,2,Positive
9366,0,35,101,156,142,2,2,2,3,1,2,1,0,2,2,0,2,Negative
9369,0.5,29,100,166,138,2,0,4,1,1,0,0,0,2,0,1,2,Negative
9373,0.16666666666666666,12,100,113,46,0,1,2,1,1,1,1,0,2,2,0,2,Negative
9375,5,16,102,114,30,2,2,2,3,1,2,2,0,2,2,0,2,Negative
9382,5,29,104,176,31,2,2,2,1,1,1,0,0,0,1,0,2,Positive
9386,0.4166666666666667,39,99,89,123,0,0,1,2,1,2,0,0,2,2,0,2,Negative
9387,0.75,17,100,178,43,0,0,1,1,3,2,2,0,2,2,1,2,Negative
9390,4,11,99,89,35,2,1,1,3,1,2,2,0,0,2,1,2,Negative
9392,0.75,47,102,163,58,2,1,1,2,2,2,0,0,2,2,0,2,Negative
9394,2,64,102,89,42,2,1,1,0,2,2,0,0,2,2,0,2,Negative
9395,4,30,100,164,54,2,1,4,0,1,2,2,1,2,2,0,2,Negative
9399,3,103,102,108,60,2,0,4,1,1,2,1,0,2,2,0,2,Negative
9400,1,48,99,126,18,2,0,2,3,1,2,0,0,2,2,0,0,Negative
9401,0.6666666666666666,126,102,181,43,2,1,4,1,3,2,1,0,2,2,0,2,Negative
9406,3,81,102,121,60,2,0,1,3,1,1,0,0,2,2,0,2,Negative
9408,3,17,101,115,41,0,0,1,3,1,2,0,1,2,2,0,2,Negative
9409,5,70,100,106,132,2,1,4,3,1,2,2,0,2,2,0,2,Negative
9410,2,41,102,130,139,2,0,2,1,1,2,2,0,2,2,0,2,Negative
9412,8,80,102,152,143,2,0,2,1,3,2,2,0,2,2,0,2,Negative
9414,3,81,102,92,45,2,1,4,3,3,0,0,0,2,2,0,2,Negative
9418,0.3333333333333333,28,102,111,59,2,0,1,1,3,0,0,0,2,0,0,0,Negative
9420,1,55,99,146,49,2,0,4,1,1,2,0,0,2,2,0,2,Negative
9425,0.08333333333333333,37,105,167,121,2,0,2,1,3,0,0,0,2,0,1,2,Positive
9428,2,71,99,166,36,2,1,1,1,2,2,0,0,2,2,0,1,Negative
9429,2,58,99,143,30,2,0,2,1,3,3,0,0,2,0,0,2,Negative
9431,0.08333333333333333,45,102,115,19,2,0,1,1,3,2,0,0,2,2,0,2,Negative
9432,2,8,102,126,28,1,3,2,3,1,2,2,0,2,2,1,0,Negative
9436,1,54,99,102,45,2,0,3,3,2,1,2,0,2,0,0,2,Negative
9442,3,75,102,126,33,2,0,1,3,1,2,0,0,2,0,0,2,Negative
9450,0.16666666666666666,118,99,139,143,2,0,2,3,2,2,2,0,2,2,0,2,Negative
9451,0.75,76,102,170,29,2,1,2,1,1,2,2,0,0,2,0,2,Negative
9460,0.057692307692307696,64,102,108,58,1,3,4,3,2,0,0,0,2,2,0,2,Negative
9463,5,12,104,189,48,2,0,2,3,1,0,0,1,0,2,1,2,Positive
9466,3,35,100,120,20,0,1,0,3,3,2,2,0,2,2,0,2,Negative
9470,2,74,101,151,48,0,1,2,1,3,2,2,0,2,2,0,2,Negative
9474,0.8333333333333334,42,103,176,149,2,0,2,3,2,1,0,1,1,2,1,2,Positive
9476,2,41,100,172,56,2,0,2,3,3,2,2,0,2,2,0,0,Negative
9477,0.08333333333333333,79,100,92,20,2,0,1,1,1,1,2,0,0,0,0,2,Negative
9479,1,5,102,122,122,2,2,4,3,3,2,2,0,2,2,1,2,Negative
9480,0.4166666666666667,71,100,179,38,2,0,1,1,3,0,2,0,0,2,0,2,Negative
9481,1,79,104,188,44,2,0,4,3,1,0,0,1,0,0,0,2,Positive
9487,0.08333333333333333,55,100,150,57,2,2,4,3,3,0,2,0,2,2,0,2,Negative
9491,0.5833333333333334,57,101,154,56,2,0,4,3,1,1,0,0,2,2,0,2,Negative
9498,0.4166666666666667,42,99,164,23,0,1,1,3,0,0,2,0,2,2,0,2,Negative
9499,2,36,102,185,21,2,0,2,3,2,0,1,0,2,2,1,2,Negative
9502,8,78,105,111,38,0,2,2,1,2,2,0,1,1,1,0,2,Positive
9506,2,52,102,143,122,1,3,4,1,3,2,1,0,2,2,0,2,Negative
9507,0.8333333333333334,9,102,122,27,2,1,4,1,3,2,0,0,2,2,0,2,Negative
9511,0.16666666666666666,65,100,145,21,2,0,4,1,1,0,2,0,2,2,0,2,Negative
9512,2,34,99,93,27,2,1,2,1,1,2,1,0,0,2,0,2,Negative
9513,16,85,101,136,34,2,0,4,1,1,1,0,0,2,2,0,0,Negative
9518,1,22,99,161,133,2,0,1,1,3,1,0,0,2,2,1,2,Negative
9519,1,14,99,104,122,2,1,2,1,3,2,2,0,2,2,0,2,Negative
9520,3,35,102,159,123,2,0,1,3,1,2,2,0,0,2,0,2,Negative
9522,0.75,56,99,161,46,2,0,1,1,1,2,0,0,2,2,0,2,Negative
9524,0.5,84,100,98,140,2,0,2,3,1,0,2,0,2,2,1,2,Negative
9525,2,16,101,174,35,2,0,2,0,3,2,2,0,0,2,0,2,Negative
9526,0.5833333333333334,48,99,143,24,2,0,1,1,3,0,1,0,2,2,0,2,Negative
9529,3,58,102,119,125,2,0,1,1,1,0,2,0,2,2,0,2,Negative
9536,7,7,102,138,150,2,2,2,1,1,0,1,0,2,0,0,0,Negative
9539,5,52,102,116,56,2,2,1,3,2,0,2,0,0,2,0,2,Negative
9541,0.75,83,102,114,40,1,3,1,0,1,0,0,0,2,2,0,2,Negative
9546,0.6666666666666666,88,99,158,22,2,2,2,0,1,2,0,0,0,0,0,2,Negative
9548,18,52,102,189,18,2,2,2,1,3,0,0,0,2,0,1,1,Negative
9552,1,71,99,154,38,2,0,3,3,2,2,1,0,2,2,0,2,Negative
9557,7,90,100,175,38,2,1,1,1,3,2,0,0,2,2,0,2,Negative
9559,2,44,99,183,27,1,3,4,3,2,0,0,0,2,2,0,0,Negative
9560,1,72,100,122,21,0,0,2,3,2,2,2,0,2,0,0,2,Negative
9563,7,10,100,96,132,1,3,2,1,1,2,2,0,0,2,0,2,Negative
9567,1,48,102,121,26,0,1,4,1,3,2,0,0,2,2,0,2,Negative
9574,0.8333333333333334,31,102,109,125,2,1,2,3,2,0,2,0,2,2,0,2,Negative
9575,7,49,100,126,44,2,1,4,1,2,0,2,0,2,2,0,2,Negative
9576,2,90,100,112,121,2,0,4,3,3,0,1,0,0,2,0,2,Negative
9577,2,21,99,188,137,2,2,1,3,3,2,2,0,0,2,0,2,Negative
9582,4,45,101,179,19,2,0,4,1,2,1,1,0,2,2,1,2,Negative
9586,4,83,102,169,45,2,0,1,1,1,2,1,0,0,2,0,0,Negative
9587,2,81,101,96,34,2,1,1,1,1,1,2,0,2,2,0,2,Negative
9593,4,67,99,133,20,2,0,1,1,1,0,1,0,2,0,0,2,Negative
9597,10,164,99,189,42,2,0,4,2,0,1,1,0,2,2,0,2,Negative
9600,7,44,100,144,52,2,0,0,1,3,0,2,0,2,2,0,2,Negative
9601,0.4166666666666667,29,102,166,136,2,0,2,2,1,2,2,0,2,2,0,0,Negative
9605,11,39,103,140,50,2,0,2,1,2,0,1,1,1,2,1,3,Positive
9606,0.4166666666666667,13,100,94,149,2,1,1,2,1,0,0,0,2,0,0,2,Negative
9607,5,85,102,119,36,2,0,1,1,0,0,1,0,2,2,0,2,Negative
9610,0.08333333333333333,56,102,109,21,2,0,1,0,1,0,0,0,2,2,1,2,Negative
9611,1,71,103,163,55,1,3,4,1,3,3,1,1,1,1,0,0,Positive
9612,4,56,103,187,145,2,0,2,1,1,2,0,1,1,1,0,0,Positive
9613,0.75,17,105,125,46,2,2,2,2,3,2,1,0,1,0,0,2,Positive
9624,1,28,100,108,144,2,2,1,1,1,2,0,0,2,2,0,2,Negative
9626,0.25,8,100,179,52,2,1,1,3,1,2,2,0,2,2,0,2,Negative
9627,3,88,105,142,141,2,0,2,1,1,0,0,1,1,1,0,3,Positive
9628,2,34,102,160,124,2,0,2,1,1,1,0,1,2,0,0,2,Negative
9630,0.25,82,102,149,18,2,0,4,3,1,2,2,0,2,2,0,2,Negative
9631,2,23,99,138,48,1,3,1,3,1,0,1,0,2,2,0,2,Negative
9635,4,32,102,130,21,1,3,2,1,3,2,2,0,2,2,0,2,Negative
9638,1,16,100,180,131,2,0,4,1,2,2,2,0,2,2,0,2,Negative
9643,0.5833333333333334,26,99,177,24,2,0,4,1,1,2,0,0,2,2,0,2,Negative
9646,0.25,79,102,92,34,2,1,4,3,3,2,0,0,2,0,0,2,Negative
9647,1,88,102,115,132,2,1,1,3,1,0,2,0,2,2,0,2,Negative
9650,0.75,33,100,171,21,0,1,4,3,2,2,2,0,2,2,0,2,Negative
9651,9,11,102,108,30,2,0,4,3,1,1,1,0,2,2,0,2,Negative
9652,3,61,101,171,131,2,0,4,3,3,2,0,0,2,2,0,2,Negative
9653,0.6666666666666666,82,100,151,42,2,1,2,1,1,1,2,0,2,2,0,2,Negative
9656,3,57,105,150,41,2,0,2,1,1,2,2,0,1,1,1,0,Positive
9658,0.5833333333333334,52,101,179,122,2,1,2,1,3,2,2,0,2,2,1,2,Negative
9659,6,29,100,147,26,2,2,1,1,3,1,2,0,2,2,0,0,Negative
9663,0.08333333333333333,24,99,107,124,2,0,1,3,1,0,1,0,2,2,0,1,Negative
9666,0.3333333333333333,63,100,129,32,2,0,2,3,1,2,2,0,0,2,0,2,Negative
9667,0.5833333333333334,52,100,117,42,2,0,4,3,3,2,0,0,2,2,0,2,Negative
9668,0.3333333333333333,20,104,126,38,2,1,2,3,3,2,1,0,2,2,0,2,Positive
9673,12,43,102,142,143,1,3,4,0,1,2,2,0,2,2,0,2,Negative
9674,1,75,102,147,22,2,1,2,3,3,0,0,0,2,2,0,2,Negative
9685,2,29,105,89,21,2,1,2,1,3,2,0,1,0,1,1,3,Positive
9687,0.9166666666666666,8,101,114,33,0,2,2,1,1,2,2,0,2,2,0,2,Negative
9688,3,70,100,152,37,2,0,2,1,0,0,2,0,2,2,0,2,Negative
9689,4,175,99,155,49,2,0,4,3,1,2,2,0,2,2,1,0,Negative
9691,0.16666666666666666,13,99,175,35,2,0,2,0,3,1,2,0,2,2,0,2,Negative
9693,0.5,42,105,175,48,0,1,2,2,0,0,1,1,2,2,0,3,Positive
9694,3,37,105,176,32,1,3,2,1,3,1,0,0,1,0,0,0,Positive
9697,4,39,100,125,39,2,0,1,0,3,2,0,0,2,2,0,2,Negative
9698,2,68,100,101,18,2,1,1,3,1,2,1,0,2,2,0,2,Negative
9703,1,87,100,177,128,0,1,2,3,1,2,2,0,0,2,0,2,Negative
9706,0.4166666666666667,85,102,153,38,0,2,2,3,3,2,1,1,2,2,0,0,Negative
9710,2,5,100,168,144,2,2,4,2,0,0,0,0,2,2,0,2,Negative
9713,3,54,100,114,35,2,0,1,3,1,2,2,0,2,0,0,0,Negative
9721,0.16666666666666666,41,99,108,34,1,3,1,3,3,2,2,0,2,0,0,2,Negative
9722,7,79,99,101,39,2,0,1,0,3,2,0,0,2,2,0,2,Negative
9724,3,79,99,136,47,2,1,1,2,1,2,2,0,2,2,0,2,Negative
9729,0.3333333333333333,16,101,100,120,2,1,1,2,3,0,0,1,0,2,0,2,Negative
9731,4,11,105,149,48,1,3,2,1,1,2,0,1,1,1,1,0,Positive
9732,5,10,101,123,31,2,1,2,2,3,2,2,0,2,2,0,0,Negative
9733,0.4166666666666667,6,100,151,33,2,1,1,0,3,1,0,0,2,0,0,0,Negative
9740,0.75,24,102,167,50,2,0,4,3,3,2,2,0,2,2,0,2,Negative
9743,5,62,99,109,120,2,0,2,3,1,2,2,0,2,2,0,2,Negative
9744,2,36,99,163,32,2,1,1,1,1,2,0,0,2,2,0,2,Negative
9746,0.08333333333333333,54,100,167,46,2,1,4,3,3,0,0,0,2,2,0,2,Negative
9747,0.08333333333333333,89,100,127,32,1,3,4,2,3,2,0,0,0,2,1,2,Negative
9752,0.5,75,102,131,45,2,0,2,1,1,2,0,0,2,2,0,0,Negative
9754,1,14,101,188,54,2,0,4,3,0,0,0,0,2,2,0,2,Negative
9763,0.5833333333333334,40,99,162,142,2,0,4,2,1,0,2,0,2,2,0,2,Negative
9765,0.25,13,99,179,127,1,3,1,1,3,0,1,0,2,2,0,2,Negative
9768,4,19,99,97,24,2,1,1,3,1,0,0,0,1,2,0,2,Negative
9769,7,13,101,109,36,2,0,2,3,1,3,0,0,2,2,0,2,Negative
9770,8,82,103,141,134,2,2,4,1,3,0,2,0,0,2,1,2,Positive
9772,4,9,99,138,141,2,1,2,1,1,0,0,0,0,0,0,0,Negative
9774,1,69,100,149,53,1,3,0,1,3,2,0,0,2,2,0,0,Negative
9775,1,58,102,161,48,1,3,4,3,2,2,0,0,2,2,0,2,Negative
9777,2,78,99,156,123,0,0,2,1,2,2,2,0,2,2,0,2,Negative
9781,2,83,102,137,60,2,2,1,2,3,2,2,0,0,0,0,2,Negative
9784,2,84,102,178,52,0,0,4,1,3,0,2,0,2,2,0,2,Negative
9788,6,85,100,173,137,2,1,4,3,3,2,2,0,2,2,0,2,Negative
9789,4,47,102,176,59,2,1,4,2,3,0,0,0,2,2,0,2,Negative
9793,0.8333333333333334,18,101,95,37,2,0,1,1,3,0,2,0,2,2,0,2,Negative
9795,0.25,90,104,123,20,2,1,2,3,1,0,0,1,1,1,1,2,Positive
9797,1,27,99,108,36,0,1,1,3,1,2,0,0,2,2,0,2,Negative
9801,5,47,103,167,40,2,1,4,1,3,0,0,0,2,2,0,2,Positive
9803,0.8333333333333334,81,100,165,53,1,3,0,3,3,2,2,0,2,2,0,2,Negative
9804,3,76,105,149,135,2,0,2,1,2,0,1,0,1,2,1,2,Positive
9806,4,73,102,118,32,2,1,4,1,1,0,2,0,1,2,0,0,Negative
9807,1,25,100,174,39,2,0,1,3,3,0,2,0,2,2,0,2,Negative
9815,0.6666666666666666,50,101,124,35,1,3,1,1,1,2,2,0,2,2,1,2,Negative
9818,0.6666666666666666,46,100,116,18,1,3,1,3,1,2,2,0,2,2,0,2,Negative
9830,0.25,30,104,160,54,2,1,2,1,3,3,0,0,1,0,1,2,Positive
9838,1,19,105,116,30,2,2,1,1,1,2,1,0,1,1,0,2,Positive
9839,7,10,100,156,130,2,1,1,0,0,2,2,0,2,2,0,2,Negative
9845,2,51,99,190,123,2,0,2,3,1,2,0,0,2,0,0,2,Negative
9846,1,18,100,120,33,2,0,4,1,2,0,2,0,2,2,0,2,Negative
9849,5,25,102,154,150,2,1,1,1,3,2,0,0,2,2,0,0,Negative
9856,1,54,104,91,120,2,0,2,2,1,0,0,0,1,0,1,2,Positive
9861,1,53,100,107,21,1,3,2,3,3,2,2,0,2,2,1,2,Negative
9862,1,63,105,149,56,2,1,2,1,1,0,2,1,1,0,1,2,Positive
9864,9,63,100,138,55,2,0,2,3,3,0,2,0,2,2,0,2,Negative
9868,0.16666666666666666,23,99,171,59,2,1,2,1,3,1,1,0,2,2,1,2,Negative
9869,0.16666666666666666,7,100,92,38,2,1,4,2,1,2,2,0,2,2,0,2,Negative
9872,1,55,102,155,60,2,1,4,3,3,2,0,0,2,0,0,2,Negative
9873,1,67,100,98,150,2,1,1,1,2,2,2,0,2,2,1,2,Negative
9874,6,47,104,106,44,0,0,2,3,1,0,1,0,1,0,0,2,Positive
9877,1,24,99,114,131,2,0,1,3,1,2,2,0,2,2,0,2,Negative
9882,0.5833333333333334,43,99,129,127,0,0,4,3,1,1,2,0,0,2,0,2,Negative
9883,5,76,101,123,32,2,1,1,1,3,1,2,0,2,0,0,2,Negative
9884,7,13,101,99,28,0,0,4,3,3,2,1,0,2,2,0,2,Negative
9887,8,43,99,138,45,2,1,1,3,1,2,0,0,2,2,0,2,Negative
9888,2,83,99,130,21,2,0,1,1,3,0,0,0,2,0,0,2,Negative
9891,3,40,101,117,144,0,0,1,1,3,2,0,0,2,2,0,2,Negative
9903,1,67,99,108,30,2,2,2,3,3,2,1,0,2,2,0,2,Negative
9908,0.16666666666666666,25,99,143,24,2,2,1,3,3,2,1,0,2,2,0,0,Negative
9909,2,9,101,170,37,2,0,4,1,1,0,0,0,2,2,0,1,Negative
9912,3,74,100,95,20,2,1,4,1,1,2,2,0,2,0,0,0,Negative
9919,4,27,99,127,41,2,0,4,1,3,2,2,0,2,2,0,2,Negative
9920,6,22,102,103,54,2,0,1,1,3,0,2,0,2,2,1,2,Negative
9922,0.08333333333333333,39,100,117,43,1,3,4,3,1,2,2,0,2,2,0,2,Negative
9926,16,85,102,116,49,2,0,1,3,1,0,1,0,2,2,0,0,Negative
9929,7,56,100,91,143,2,0,4,2,3,2,1,0,2,2,0,2,Negative
9930,8,84,102,108,19,1,3,1,2,3,2,0,0,2,2,0,2,Negative
9934,5,78,100,93,121,0,0,0,3,1,0,2,0,2,2,0,2,Negative
9935,6,23,99,185,145,2,0,2,3,3,2,0,0,2,2,0,2,Negative
9937,1,89,99,125,137,2,0,2,1,3,2,0,0,2,2,0,2,Negative
9939,3,83,99,106,128,1,3,4,2,2,2,2,0,2,2,0,0,Negative
9942,0.16666666666666666,27,100,154,144,2,2,4,1,1,2,0,0,0,2,0,2,Negative
9943,0.16666666666666666,59,105,182,133,2,0,2,3,3,3,2,0,1,1,0,2,Positive
9948,2,85,101,171,129,2,1,4,3,2,2,0,0,0,2,0,2,Negative
9949,0.75,61,100,159,45,1,3,1,3,3,2,2,0,2,2,0,2,Negative
9950,5,77,100,158,50,2,0,4,3,3,2,1,0,2,0,0,2,Negative
9954,6,90,101,138,144,0,0,3,2,3,2,2,0,2,2,0,2,Negative
9955,7,37,100,136,130,2,0,1,1,1,0,2,0,2,2,0,2,Negative
9960,4,24,102,125,121,2,1,4,3,3,2,1,0,2,2,0,1,Negative
9961,0.25,69,100,135,138,2,1,1,3,3,0,2,0,0,0,1,0,Negative
9963,11,49,100,176,52,2,2,4,1,3,0,0,0,2,2,0,2,Negative
9966,4,81,100,102,54,2,2,4,1,2,2,0,0,2,2,0,2,Negative
9968,2,88,101,160,20,2,0,1,1,1,2,2,0,2,2,0,2,Negative
9969,2,84,99,146,49,0,0,4,1,3,2,1,0,2,2,0,2,Negative
9972,0.5833333333333334,62,99,121,55,2,0,2,2,1,2,2,0,2,2,0,2,Negative
9975,8,17,100,144,23,2,1,4,1,1,0,2,0,2,2,0,2,Negative
9976,12,23,101,96,26,0,0,4,2,1,2,2,0,2,2,0,2,Negative
9978,1,40,103,106,56,2,2,2,3,2,0,0,1,1,2,1,2,Positive
9979,5,70,105,146,21,2,2,2,1,3,0,0,0,1,2,1,2,Positive
9982,0.019230769230769232,57,102,122,28,2,0,1,1,3,2,2,0,0,2,0,2,Negative
9983,0.75,80,102,90,143,0,0,4,3,1,2,0,0,2,2,0,2,Negative
9984,7,87,102,169,48,2,1,2,2,1,2,2,0,2,2,0,2,Negative
9985,9,45,101,118,40,2,1,1,1,2,1,2,0,2,2,0,2,Negative
9987,0.16666666666666666,58,105,175,39,1,3,2,1,2,0,2,0,1,1,1,3,Positive
9988,2,75,101,122,40,0,1,0,3,1,0,2,0,2,2,0,2,Negative
9990,2,59,105,178,34,2,0,4,1,1,0,0,1,1,2,0,0,Positive
9991,2,35,102,166,141,2,0,2,1,1,1,2,0,1,2,0,2,Negative
9993,2,43,100,130,36,1,3,4,0,3,2,2,0,2,2,0,2,Negative
9998,1,63,104,145,51,2,2,2,3,3,0,1,1,2,1,1,0,Positive
10003,0.3333333333333333,87,101,144,133,2,0,4,3,3,0,1,0,0,0,0,0,Negative
10005,0.6666666666666666,22,101,148,39,1,3,1,3,1,1,0,0,2,2,0,1,Negative
10010,1,35,103,101,22,0,0,1,1,1,3,0,1,1,0,0,2,Positive
10012,2,67,100,171,144,2,2,2,1,3,2,2,0,2,2,0,2,Negative
10018,1,52,102,160,54,0,1,1,3,1,2,0,0,2,2,0,2,Negative
10020,2,85,102,176,55,2,0,1,3,3,0,2,0,2,2,0,2,Negative
10024,6,34,101,124,33,2,0,1,1,1,0,1,0,2,2,0,2,Negative
10026,0.5,57,105,187,20,2,0,2,1,1,0,0,1,2,1,1,2,Positive
10028,6,13,102,164,29,2,0,1,3,3,0,2,0,2,2,0,0,Negative
10029,5,16,101,178,146,2,0,2,3,3,2,0,0,2,2,0,2,Negative
10030,1,71,105,110,49,0,0,2,0,1,0,1,1,1,1,0,2,Positive
10031,4,81,99,174,38,2,0,1,1,3,0,2,0,2,2,0,2,Negative
10035,4,84,102,93,27,1,3,4,1,2,2,0,0,2,2,0,2,Negative
10036,2,7,99,130,29,2,1,4,0,1,2,2,0,2,2,0,2,Negative
10037,4,5,102,134,32,1,3,2,1,3,1,2,0,2,2,0,2,Negative
10041,6,65,102,138,148,1,3,4,3,0,0,2,0,2,0,0,2,Negative
10043,4,13,100,141,23,2,1,2,3,3,0,0,0,0,0,0,2,Negative
10044,7,41,100,90,60,2,1,2,1,3,2,2,0,2,2,0,0,Negative
10049,2,66,100,165,130,0,2,1,3,3,2,0,0,2,2,0,0,Negative
10052,7,57,99,144,140,2,0,4,3,1,0,2,0,2,2,0,2,Negative
10054,4,77,99,144,35,1,3,1,1,3,2,0,0,2,0,0,2,Negative
10056,1,70,100,118,128,2,0,1,3,3,2,2,0,2,2,0,1,Negative
10057,4,17,102,158,26,1,3,2,2,2,2,2,0,2,2,0,2,Negative
10059,2,58,100,154,24,2,1,4,0,1,0,2,0,2,0,0,2,Negative
10066,0.0027397260273972603,60,102,125,138,0,2,4,1,3,2,2,0,2,2,0,2,Negative
10074,0.75,69,101,102,148,2,0,4,1,3,2,2,0,2,2,0,0,Negative
10083,1,72,105,105,25,1,3,2,1,1,0,0,1,0,2,1,2,Positive
10085,1,14,100,111,37,2,1,1,3,0,2,2,0,2,2,0,2,Negative
10091,0.3333333333333333,23,99,91,126,0,0,1,3,3,0,2,0,2,2,0,2,Negative
10092,5,36,102,155,51,1,3,2,1,3,0,2,0,2,2,0,2,Negative
10097,2,54,100,190,45,2,1,2,3,0,2,2,0,2,0,0,2,Negative
10100,3,76,103,188,149,2,0,2,2,3,0,0,1,2,1,1,0,Positive
10104,0.25,69,100,131,130,2,0,1,3,1,0,0,0,2,2,1,1,Negative
10109,13,72,105,126,143,0,1,2,3,1,0,2,0,1,2,0,0,Positive
10111,4,67,104,129,50,2,2,2,1,2,0,0,1,1,1,1,2,Positive
10113,0.25,61,99,155,145,0,0,4,1,3,2,1,0,2,2,0,2,Negative
10114,1,26,102,111,52,2,1,1,1,1,2,2,0,2,2,0,2,Negative
10115,4,38,99,150,147,2,2,2,1,2,2,2,0,2,2,0,2,Negative
10118,0.25,47,102,99,45,1,3,4,3,1,2,0,0,2,2,0,0,Negative
10120,2,64,100,113,60,1,3,2,3,3,2,2,0,2,2,0,2,Negative
10121,2,34,101,118,48,2,1,4,2,1,0,2,0,2,1,0,2,Negative
10123,5,87,101,183,23,2,0,1,3,1,2,0,0,0,2,0,2,Negative
10126,7,82,101,150,137,2,2,4,3,1,2,2,0,2,2,1,2,Negative
10128,2,19,101,171,122,2,0,2,3,3,1,1,0,2,2,0,2,Negative
10129,0.16666666666666666,26,100,108,148,1,3,4,1,1,3,2,0,2,2,0,2,Negative
10133,3,62,100,138,18,0,0,2,3,3,2,0,0,2,2,0,2,Negative
10135,2,39,99,190,52,2,2,4,1,1,0,2,0,2,2,0,2,Negative
10136,2,17,103,175,29,2,1,4,2,3,0,0,1,2,0,0,2,Positive
10142,0.9166666666666666,59,102,172,59,1,3,1,3,2,0,2,0,0,0,1,2,Negative
10148,6,60,99,94,27,1,3,4,3,1,2,0,0,2,2,0,2,Negative
10154,2,59,99,130,38,0,0,1,3,3,2,2,0,2,0,0,2,Negative
10157,2,88,101,145,49,2,1,1,3,0,0,2,0,2,0,0,0,Negative
10159,6,72,100,119,45,2,0,1,1,2,0,2,0,2,2,0,2,Negative
10161,2,50,101,190,22,2,1,2,3,1,1,1,0,2,2,0,0,Negative
10167,7,34,103,137,141,2,0,2,1,3,3,1,1,1,2,1,2,Positive
10170,2,65,100,105,58,2,0,2,2,3,0,2,0,2,2,0,2,Negative
10177,2,88,104,114,43,1,3,1,1,3,2,0,1,0,1,1,2,Positive
10178,2,37,101,163,147,2,1,2,3,3,1,0,0,2,2,0,2,Negative
10180,3,87,102,165,57,2,0,2,1,0,0,2,0,2,2,0,2,Negative
10188,0.07692307692307693,80,100,141,23,1,3,1,3,3,2,2,0,0,2,0,2,Negative
10190,1,86,101,176,44,2,0,1,3,1,2,1,0,2,2,0,2,Negative
10194,2,20,101,119,52,2,1,1,3,1,1,2,0,2,1,0,2,Negative
10195,0.5833333333333334,44,99,134,120,2,1,1,3,3,0,0,0,1,2,0,2,Negative
10196,0.5833333333333334,44,100,145,36,2,1,4,0,3,2,0,0,2,2,0,2,Negative
10198,1,109,101,93,139,2,0,4,1,3,0,0,0,2,2,0,2,Negative
10199,5,38,101,108,141,2,0,1,1,2,2,2,0,2,2,0,2,Negative
10202,0.5833333333333334,58,101,113,27,2,0,2,3,0,2,0,0,2,0,0,2,Negative
10204,2,78,101,180,129,2,0,2,3,3,2,2,0,2,0,0,2,Negative
10210,2,70,100,167,124,2,2,2,0,3,0,2,0,2,0,0,0,Negative
10211,2,7,101,175,37,2,0,4,3,3,0,2,0,2,0,0,2,Negative
10220,1,66,100,113,28,2,1,2,3,2,1,0,0,2,2,0,2,Negative
10224,2,141,99,157,19,2,0,1,1,3,1,2,0,0,2,0,1,Negative
