age,weight_lbs,temperature,heart_rate_bpm,resp_rate_bpm,mm,crt,mentation,vomiting,diarrhea,inappetence,lethargic,lameness,muscle_pain,joint_swelling,reported_weight_loss,skin_condition,is_4dx_tested
0.08333333333333333,76,100,190,23,Pink,<1 sec,QAR,Mild,Mild,Mild,Mild,None,None,None,None,Bruising,Negative
2.0,85,101,112,24,Pink,1-2 sec,QAR,Moderate,Mild,None,Mild,None,None,None,None,Normal,Negative
5.0,8,102,106,51,Pink,>2 sec,BAR,Mild,None,Mild,None,None,None,None,None,Normal,Negative
12.0,75,102,145,124,Pink,1-2 sec,Dull/Depressed,Mild,Mild,Mild,None,None,None,None,None,Normal,Negative
2.0,52,99,142,46,Pink,1-2 sec,BAR,Moderate,Mild,None,None,None,None,Mild,None,Irritation,Negative
0.6666666666666666,42,99,113,58,Light Pink,1-2 sec,BAR,Mild,None,None,Moderate,None,Mild,Mild,None,Normal,Negative
1.0,58,99,132,137,Pink,1-2 sec,BAR,Chronic,Moderate,None,Mild,None,None,None,None,Normal,Negative
0.25,57,102,115,35,Light Pink,<1 sec,BAR,Chronic,None,None,None,None,None,None,None,Normal,Negative
0.8333333333333334,9,102,178,29,Light Pink,>2 sec,QAR,None,Chronic,None,Mild,None,Mild,Mild,None,Normal,Negative
0.08333333333333333,18,102,140,44,Pink,1-2 sec,QAR,Mild,Chronic,Moderate,None,None,Mild,Mild,None,Normal,Negative
0.08333333333333333,29,100,141,54,Pale,UTO,QAR,None,None,None,Moderate,None,None,None,None,Normal,Negative
2.0,55,102,108,40,Pink,1-2 sec,QAR,Mild,Moderate,None,Mild,None,None,None,None,Normal,Negative
0.08333333333333333,69,100,190,25,Pink,1-2 sec,QAR,Mild,Moderate,None,None,None,None,None,Present,Normal,Negative
0.08333333333333333,14,101,153,146,Pink,1-2 sec,BAR,Moderate,Mild,None,None,None,None,None,None,Bruising,Negative
7.0,56,101,127,60,Pink,1-2 sec,QAR,Moderate,Mild,Mild,None,None,Mild,None,Present,Normal,Negative
4.0,49,99,140,20,Pink,1-2 sec,QAR,Moderate,Chronic,None,Mild,None,None,None,Present,Normal,Negative
8.0,50,100,179,60,Pink,>2 sec,QAR,None,None,None,Mild,None,None,None,None,Normal,Negative
3.0,12,101,157,43,Pink,>2 sec,BAR,Mild,None,Moderate,Mild,None,None,None,None,Normal,Negative
3.0,34,104,164,53,Pink,<1 sec,Dull/Depressed,None,None,Mild,Mild,Present,Moderate,Moderate,Present,Normal,Positive
1.0,55,100,99,41,Pink,<1 sec,BAR,None,Mild,None,None,None,None,None,None,Normal,Negative
1.0,47,100,106,39,Pink,1-2 sec,Dull/Depressed,Moderate,Mild,None,None,None,None,None,None,Normal,Negative
4.0,50,100,105,27,Pink,>2 sec,QAR,None,None,None,None,None,None,None,Present,Normal,Negative
1.0,10,100,167,142,Light Pink,1-2 sec,BAR,None,None,Moderate,Mild,None,Mild,None,None,Normal,Negative
4.0,26,101,98,18,Pink,1-2 sec,Dull/Depressed,None,None,None,Moderate,None,Mild,None,None,Normal,Negative
1.0,12,101,138,19,Light Pink,<1 sec,BAR,None,None,None,Mild,None,None,None,None,Normal,Negative
0.8333333333333334,12,103,172,34,Pink,1-2 sec,Dull/Depressed,Mild,None,Mild,Mild,Present,Moderate,None,None,Normal,Positive
1.0,11,100,108,18,Pink,1-2 sec,Dull/Depressed,Mild,None,None,None,None,None,None,None,Normal,Negative
0.038461538461538464,28,100,190,51,Pink,>2 sec,Dull/Depressed,None,Moderate,None,Moderate,Present,None,None,None,Normal,Negative
0.4166666666666667,103,100,104,137,Pale,UTO,QAR,Moderate,None,Mild,Moderate,None,None,Mild,Present,Normal,Negative
2.0,80,105,117,59,Pink,<1 sec,Dull/Depressed,None,None,Moderate,Moderate,None,Moderate,Moderate,Present,Normal,Positive
4.0,26,102,131,34,Pink,1-2 sec,QAR,None,None,Mild,Mild,None,None,None,None,Normal,Negative
1.0,81,101,140,60,Pink,<1 sec,QAR,None,Chronic,None,None,None,None,None,None,Normal,Negative
2.0,20,101,101,51,Pink,>2 sec,BAR,None,None,None,Mild,None,None,None,None,Normal,Negative
0.08333333333333333,17,102,115,23,Pink,1-2 sec,Dull/Depressed,Moderate,Mild,Mild,None,None,None,None,None,Normal,Negative
0.5833333333333334,55,104,107,52,Pink,1-2 sec,Dull/Depressed,Moderate,Chronic,Mild,Moderate,Present,Mild,None,Present,Petechia,Positive
1.0,90,105,121,57,Pink,>2 sec,BAR,None,None,None,Mild,None,Moderate,Moderate,None,Normal,Positive
2.0,33,100,124,50,Pink,<1 sec,Dull/Depressed,Moderate,None,None,Mild,None,None,None,None,Bruising,Negative
8.0,32,102,98,59,Pink,<1 sec,Dull/Depressed,Mild,Mild,Mild,Mild,None,None,Mild,None,Normal,Negative
1.0,20,100,177,21,Pink,1-2 sec,BAR,Mild,None,None,None,None,None,None,Present,Normal,Negative
1.0,34,99,91,41,Pale,UTO,Dull/Depressed,None,None,Moderate,Moderate,None,None,None,None,Normal,Negative
0.4166666666666667,6,102,154,28,Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,None,None,None,None,None,Bruising,Negative
7.0,53,101,187,40,Pink,1-2 sec,BAR,Mild,None,Mild,None,None,None,None,None,Normal,Negative
9.0,34,102,155,125,Pink,1-2 sec,QAR,None,Mild,Mild,Mild,None,None,None,None,Irritation,Negative
0.5833333333333334,56,101,129,147,Pale,UTO,QAR,Mild,None,None,Mild,None,None,None,None,Normal,Negative
2.0,84,99,174,51,Pale,UTO,BAR,None,Mild,None,Mild,None,None,None,None,Normal,Negative
1.0,30,102,155,45,Pink,1-2 sec,Dull/Depressed,None,Mild,None,Mild,None,Mild,None,None,Bruising,Negative
0.5833333333333334,79,101,114,150,Pink,1-2 sec,BAR,None,Mild,None,Moderate,None,None,None,None,Normal,Negative
5.0,41,101,121,53,Light Pink,>2 sec,BAR,None,None,Mild,None,None,None,None,None,Normal,Negative
0.8333333333333334,23,102,141,35,Pink,1-2 sec,QAR,Mild,None,None,Mild,None,None,None,Present,Normal,Negative
1.0,85,99,166,138,Pink,1-2 sec,Dull/Depressed,Mild,Mild,Mild,None,None,None,None,Present,Normal,Negative
4.0,71,101,157,130,Pink,1-2 sec,QAR,Mild,Chronic,Moderate,Mild,None,Mild,None,None,Normal,Negative
0.08333333333333333,65,99,91,131,Pale,UTO,BAR,Mild,Mild,Mild,None,None,None,Mild,None,Irritation,Negative
5.0,8,105,115,38,Pale,UTO,Dull/Depressed,Mild,Mild,Mild,Mild,None,Mild,None,None,Bruising,Positive
0.5,72,99,101,21,Pink,1-2 sec,BAR,None,Moderate,None,None,None,None,None,None,Normal,Negative
0.3333333333333333,20,100,123,22,Pink,1-2 sec,Dull/Depressed,None,None,None,None,None,None,None,None,Normal,Negative
1.0,21,101,100,38,Pink,1-2 sec,Dull/Depressed,None,None,None,Mild,None,None,None,None,Normal,Negative
8.0,39,102,96,34,Pink,1-2 sec,QAR,None,Mild,None,None,None,None,None,None,Normal,Negative
0.25,69,101,101,136,Pink,>2 sec,Dull/Depressed,None,None,None,Mild,None,None,None,None,Normal,Negative
10.0,72,100,190,41,Pink,>2 sec,BAR,None,None,None,None,None,None,None,None,Normal,Negative
3.0,17,99,129,49,Pink,1-2 sec,QAR,Moderate,None,None,None,None,Mild,None,None,Normal,Negative
1.0,22,101,177,46,Pink,>2 sec,BAR,Mild,Mild,Mild,Mild,None,None,None,None,Irritation,Negative
1.0,49,101,121,44,Pink,1-2 sec,Dull/Depressed,None,Mild,None,None,None,None,Mild,Present,Normal,Negative
0.4166666666666667,42,99,121,46,Pink,1-2 sec,BAR,None,None,None,None,None,None,None,Present,Normal,Negative
4.0,73,99,136,53,Pink,>2 sec,BAR,Mild,Mild,None,Moderate,None,None,None,None,Normal,Negative
2.0,88,102,160,28,Pink,1-2 sec,QAR,Moderate,None,None,None,None,None,None,None,Normal,Negative
11.0,26,99,94,24,Pink,1-2 sec,QAR,None,None,Mild,None,None,None,None,None,Normal,Negative
3.0,99,100,122,33,Pink,<1 sec,QAR,None,Mild,None,None,None,None,None,None,Normal,Negative
2.0,85,99,133,125,Pink,1-2 sec,BAR,None,Mild,Mild,Moderate,None,Mild,None,None,Normal,Negative
0.9166666666666666,74,100,145,51,Pale,UTO,Dull/Depressed,Mild,Mild,Mild,Moderate,None,Mild,None,None,Normal,Negative
8.0,54,102,159,132,Pale,UTO,BAR,Chronic,Mild,Mild,None,None,None,None,None,Normal,Negative
2.0,68,101,147,121,Pink,1-2 sec,QAR,Mild,Mild,Mild,Mild,None,None,None,None,Normal,Negative
2.0,82,100,138,25,Pink,1-2 sec,QAR,None,None,Mild,Mild,None,None,Mild,None,Normal,Negative
2.0,61,101,112,18,Pink,<1 sec,QAR,Moderate,Moderate,None,Mild,None,None,None,None,Bruising,Negative
3.0,7,100,187,25,Pale,UTO,Dull/Depressed,Mild,Chronic,Moderate,Moderate,None,Mild,None,None,Normal,Negative
1.0,25,103,124,39,Light Pink,1-2 sec,QAR,None,Mild,Mild,None,None,Moderate,Mild,None,Normal,Positive
2.0,74,101,187,59,Pink,1-2 sec,BAR,Mild,Mild,Mild,None,None,None,None,None,Normal,Negative
0.08333333333333333,77,101,160,33,Pink,>2 sec,Dull/Depressed,Mild,None,None,None,None,None,Mild,None,Normal,Negative
0.08333333333333333,25,101,144,46,Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,Mild,None,Mild,None,None,Normal,Negative
1.0,17,99,119,53,Pink,<1 sec,Anxious/Agitated,None,None,None,Mild,None,None,None,None,Normal,Negative
2.0,46,105,186,57,Light Pink,1-2 sec,Dull/Depressed,None,Mild,Mild,Mild,Present,Moderate,Moderate,None,Normal,Positive
2.0,75,102,131,56,Light Pink,1-2 sec,BAR,Mild,Moderate,Moderate,Moderate,None,None,None,None,Normal,Negative
6.0,25,100,165,28,Pink,>2 sec,Dull/Depressed,Mild,Mild,None,Mild,None,None,None,None,Normal,Negative
1.0,36,103,166,38,Pink,1-2 sec,Dull/Depressed,None,Chronic,Moderate,Moderate,None,Moderate,Mild,None,Bruising,Positive
1.0,62,103,179,22,Pink,1-2 sec,Dull/Depressed,None,Mild,Mild,Mild,Present,Moderate,Moderate,None,Bruising,Positive
0.057692307692307696,152,105,116,54,Pink,1-2 sec,Dull/Depressed,Chronic,None,Mild,Mild,Present,Moderate,Mild,None,Petechia,Positive
1.0,76,99,133,43,Pink,1-2 sec,BAR,None,Mild,None,Mild,Present,None,None,None,Normal,Negative
0.6666666666666666,61,100,188,37,Pink,1-2 sec,QAR,Chronic,Mild,Moderate,None,None,None,None,Present,Normal,Negative
2.0,69,100,153,45,Pink,>2 sec,Anxious/Agitated,Moderate,None,None,Mild,None,Mild,Mild,None,Normal,Negative
9.0,61,100,164,22,Pink,1-2 sec,BAR,Mild,Mild,None,Mild,None,None,None,None,Normal,Negative
6.0,52,102,141,41,Pink,>2 sec,Dull/Depressed,Moderate,Mild,None,Mild,None,None,Mild,None,Normal,Negative
1.0,84,100,157,121,Pink,>2 sec,Anxious/Agitated,Moderate,None,None,None,None,None,None,None,Normal,Negative
3.0,52,100,145,133,Pink,1-2 sec,QAR,None,Mild,None,None,None,Mild,None,None,Normal,Negative
6.0,49,101,149,26,Pale,UTO,Anxious/Agitated,None,Mild,None,Moderate,None,None,None,None,Bruising,Negative
4.0,50,99,112,144,Pink,1-2 sec,Dull/Depressed,Mild,None,None,None,None,None,None,None,Normal,Negative
0.5,30,100,164,52,Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,None,None,None,None,None,Normal,Negative
2.0,83,100,113,123,Pink,1-2 sec,QAR,Chronic,None,Mild,None,None,None,None,None,Normal,Negative
1.0,13,100,183,135,Pink,1-2 sec,Anxious/Agitated,Moderate,Mild,None,Mild,None,None,None,None,Normal,Negative
1.0,18,102,163,49,Pink,<1 sec,BAR,Moderate,None,None,Mild,None,None,None,Present,Normal,Negative
4.0,86,102,131,22,Pink,1-2 sec,BAR,None,None,Mild,None,None,Mild,None,None,Normal,Negative
0.07692307692307693,55,101,157,56,Light Pink,>2 sec,Dull/Depressed,Moderate,None,Mild,None,None,None,None,None,Bruising,Negative
3.0,34,102,105,122,Pink,1-2 sec,Dull/Depressed,Mild,None,None,None,None,None,None,None,Normal,Negative
6.0,58,101,143,136,Pink,1-2 sec,QAR,None,None,None,None,None,None,None,None,Normal,Negative
0.0,49,99,144,39,Pink,>2 sec,Dull/Depressed,Mild,Moderate,Mild,None,None,None,None,None,Normal,Negative
0.5833333333333334,62,102,91,45,Pink,1-2 sec,BAR,Mild,Mild,None,None,None,None,None,None,Normal,Negative
0.25,29,102,133,44,Pink,1-2 sec,QAR,None,None,None,Moderate,None,None,None,None,Normal,Negative
0.8333333333333334,41,101,148,134,Pink,1-2 sec,Dull/Depressed,None,None,None,Moderate,None,None,None,None,Normal,Negative
1.0,33,102,134,22,Light Pink,>2 sec,QAR,None,Mild,Moderate,Moderate,None,None,None,Present,Normal,Negative
2.0,67,99,167,46,Pink,1-2 sec,QAR,Chronic,Mild,None,None,None,None,None,None,Normal,Negative
12.0,50,102,115,41,Pink,1-2 sec,QAR,Mild,None,None,None,None,None,None,None,Normal,Negative
1.0,115,105,103,45,Pink,1-2 sec,Dull/Depressed,Mild,Mild,Mild,Mild,Present,Moderate,Moderate,Present,Bruising,Positive
2.0,6,101,124,30,Pink,1-2 sec,BAR,None,Mild,None,Mild,None,Mild,None,None,Normal,Negative
0.3333333333333333,76,101,153,36,Pink,1-2 sec,BAR,Mild,None,Moderate,None,None,None,None,None,Normal,Negative
2.0,78,104,98,23,Pink,>2 sec,Dull/Depressed,Moderate,Mild,Mild,Mild,None,Moderate,Moderate,Present,Bruising,Positive
0.6666666666666666,84,101,184,142,Pale,UTO,BAR,Mild,Mild,None,Mild,None,None,Mild,None,Normal,Negative
1.0,80,102,188,47,Pink,1-2 sec,QAR,Mild,Mild,None,None,None,None,None,None,Bruising,Negative
1.0,45,105,173,140,Pink,1-2 sec,BAR,Mild,Mild,Severe,Moderate,Present,Moderate,Mild,None,Bruising,Positive
0.4166666666666667,46,101,182,54,Pale,UTO,BAR,None,Mild,Mild,None,None,None,Mild,None,Bruising,Negative
2.0,69,101,101,50,Pale,UTO,Dull/Depressed,Mild,Mild,Mild,None,None,None,None,Present,Normal,Negative
2.0,44,99,175,132,Pink,<1 sec,Dull/Depressed,Moderate,None,None,None,None,None,None,None,Normal,Negative
0.08333333333333333,42,100,189,36,Pink,<1 sec,Dull/Depressed,Moderate,Mild,Moderate,Mild,None,None,None,None,Normal,Negative
1.0,61,101,159,36,Pink,1-2 sec,Dull/Depressed,Moderate,None,Mild,Moderate,None,None,None,None,Bruising,Negative
6.0,12,101,188,45,Pink,1-2 sec,QAR,None,Mild,Moderate,None,None,None,None,None,Normal,Negative
1.0,10,102,99,136,Pink,1-2 sec,QAR,Moderate,None,Moderate,None,None,None,None,None,Normal,Negative
1.0,54,99,151,138,Pink,1-2 sec,Dull/Depressed,Mild,Mild,Mild,None,None,None,None,None,Normal,Negative
3.0,49,104,89,28,Light Pink,>2 sec,Dull/Depressed,Mild,Mild,Severe,None,None,Moderate,None,Present,Normal,Positive
0.25,58,105,131,146,Pink,<1 sec,Dull/Depressed,Mild,None,None,None,Present,Mild,Moderate,Present,Petechia,Positive
7.0,43,105,141,150,Pink,1-2 sec,BAR,None,None,None,Mild,None,Mild,Moderate,Present,Normal,Positive
3.0,56,100,124,49,Pink,1-2 sec,BAR,None,None,Mild,None,None,None,None,None,Bruising,Negative
1.0,50,104,134,37,Pink,1-2 sec,Dull/Depressed,Chronic,None,Mild,Moderate,Present,Moderate,Mild,None,Bruising,Positive
4.0,78,104,137,34,Pink,<1 sec,QAR,Moderate,Mild,Mild,None,Present,Moderate,None,None,Normal,Positive
0.6666666666666666,149,99,141,145,Pink,1-2 sec,BAR,Chronic,None,None,None,None,None,None,None,Normal,Negative
0.08333333333333333,65,102,88,40,Pink,1-2 sec,QAR,Mild,None,None,None,None,None,None,None,Normal,Negative
1.0,11,99,91,132,Pink,1-2 sec,Dull/Depressed,Mild,None,None,None,None,None,None,None,Bruising,Negative
1.0,65,100,175,19,Pink,>2 sec,BAR,Mild,Moderate,None,Moderate,None,None,None,None,Bruising,Negative
0.75,54,99,128,41,Pink,<1 sec,BAR,Chronic,None,None,Moderate,None,None,None,None,Normal,Negative
1.0,25,102,107,46,Pale,UTO,BAR,Chronic,Mild,None,Mild,None,Mild,None,None,Normal,Negative
1.0,61,102,130,34,Pink,1-2 sec,QAR,Mild,None,None,Mild,None,None,None,None,Bruising,Negative
5.0,18,103,93,49,Light Pink,<1 sec,Dull/Depressed,None,Mild,None,Mild,Present,Moderate,Moderate,Present,Petechia,Positive
2.0,9,101,186,53,Pink,>2 sec,Dull/Depressed,Mild,Chronic,Mild,None,None,None,None,None,Normal,Negative
2.0,39,101,131,59,Pale,UTO,Dull/Depressed,Mild,Mild,None,None,None,None,None,None,Normal,Negative
3.0,65,102,90,27,Pink,1-2 sec,QAR,None,None,None,None,None,None,None,None,Normal,Negative
0.9166666666666666,55,100,135,51,Pink,1-2 sec,Dull/Depressed,None,Mild,None,None,None,None,None,None,Bruising,Negative
8.0,56,102,141,34,Pink,1-2 sec,Dull/Depressed,Mild,None,None,None,None,None,None,None,Normal,Negative
0.25,66,104,110,130,Pink,>2 sec,Dull/Depressed,Mild,None,None,Mild,None,Moderate,Moderate,Present,Bruising,Positive
2.0,38,101,164,137,Pink,>2 sec,BAR,Mild,Mild,None,None,None,Mild,None,None,Bruising,Negative
1.0,15,105,90,27,Pale,UTO,Dull/Depressed,None,None,Mild,Mild,Present,Moderate,Mild,Present,Normal,Positive
1.0,80,102,162,50,Pale,UTO,Dull/Depressed,Mild,Mild,Moderate,None,None,None,Mild,None,Normal,Negative
1.0,50,99,125,53,Pink,1-2 sec,QAR,None,None,Mild,Moderate,None,Mild,None,None,Bruising,Negative
5.0,23,102,131,56,Pink,<1 sec,QAR,Mild,Mild,Mild,None,None,Mild,None,None,Normal,Negative
0.75,175,99,140,20,Light Pink,>2 sec,QAR,Mild,Moderate,Mild,Mild,None,None,None,None,Normal,Negative
1.0,81,102,187,38,Pink,>2 sec,Dull/Depressed,None,Mild,Mild,None,None,None,None,None,Normal,Negative
1.0,85,101,147,133,Light Pink,1-2 sec,QAR,None,Mild,Mild,Mild,None,None,None,None,Normal,Negative
8.0,18,102,143,27,Pink,<1 sec,BAR,Mild,None,Mild,None,None,None,None,None,Normal,Negative
3.0,34,99,147,18,Pink,>2 sec,QAR,None,Mild,Moderate,None,None,None,None,None,Bruising,Negative
3.0,24,101,108,44,Pink,<1 sec,QAR,None,None,Mild,None,None,Mild,None,None,Normal,Negative
0.16666666666666666,64,102,95,26,Pale,UTO,Dull/Depressed,None,Mild,None,None,None,None,None,None,Normal,Negative
0.16666666666666666,80,102,167,19,Pale,UTO,BAR,Moderate,None,Mild,Mild,None,None,None,None,Normal,Negative
11.0,65,99,139,20,Pink,1-2 sec,QAR,None,Mild,Moderate,None,None,None,None,None,Normal,Negative
9.0,68,100,105,126,Pink,>2 sec,Dull/Depressed,None,None,Moderate,Mild,None,None,None,None,Normal,Negative
5.0,89,100,186,43,Pink,>2 sec,BAR,None,None,Moderate,None,None,None,None,None,Normal,Negative
0.3333333333333333,68,100,155,40,Pink,1-2 sec,Dull/Depressed,None,Moderate,None,Moderate,None,None,Mild,None,Normal,Negative
1.0,35,99,137,41,Pink,>2 sec,BAR,Mild,None,None,None,None,None,None,None,Bruising,Negative
1.0,89,103,168,42,Pink,1-2 sec,Dull/Depressed,None,None,Mild,None,Present,Moderate,Moderate,Present,Bruising,Positive
1.0,66,100,90,123,Pale,UTO,Dull/Depressed,Moderate,Mild,Moderate,Mild,None,None,Mild,None,Normal,Negative
4.0,40,105,94,34,Pink,>2 sec,Dull/Depressed,Mild,Moderate,Mild,Mild,Present,None,None,Present,Petechia,Positive
1.0,149,100,160,59,Pink,1-2 sec,BAR,None,None,Mild,Mild,None,None,None,None,Irritation,Negative
1.0,42,102,112,59,Pale,UTO,Dull/Depressed,None,None,Mild,Mild,None,None,None,None,Normal,Negative
0.038461538461538464,5,99,146,23,Pink,1-2 sec,QAR,Mild,Mild,None,Moderate,None,None,None,None,Normal,Negative
0.038461538461538464,14,99,91,24,Light Pink,1-2 sec,QAR,Mild,None,Moderate,None,None,None,None,None,Normal,Negative
0.08333333333333333,41,105,154,47,Light Pink,<1 sec,Dull/Depressed,Mild,None,Mild,Mild,Present,Mild,Moderate,None,Bruising,Positive
9.0,72,99,149,55,Pink,<1 sec,Dull/Depressed,Mild,Chronic,None,None,None,None,Mild,None,Normal,Negative
3.0,23,102,98,36,Pale,UTO,BAR,None,None,None,None,None,Mild,None,Present,Normal,Negative
2.0,78,100,149,56,Pink,>2 sec,BAR,None,Chronic,Mild,None,None,Mild,Mild,None,Bruising,Negative
1.0,38,102,132,58,Pink,<1 sec,BAR,Chronic,Mild,None,Mild,None,None,None,None,Normal,Negative
6.0,56,100,149,54,Pink,1-2 sec,QAR,None,None,Mild,Mild,None,None,None,None,Irritation,Negative
1.0,22,99,144,21,Pale,UTO,BAR,None,None,None,None,None,Mild,None,None,Normal,Negative
4.0,72,102,135,139,Pale,UTO,BAR,Moderate,None,None,Moderate,None,None,None,Present,Normal,Negative
13.0,57,104,189,46,Pink,1-2 sec,Dull/Depressed,None,Mild,Mild,None,None,Moderate,Mild,Present,Normal,Positive
10.0,56,100,182,143,Pale,UTO,Dull/Depressed,Chronic,None,None,None,None,None,None,None,Bruising,Negative
2.0,46,100,111,22,Pink,<1 sec,QAR,Mild,Mild,Mild,Mild,None,None,None,None,Normal,Negative
1.0,20,102,161,60,Pink,1-2 sec,Dull/Depressed,Mild,None,None,Mild,None,None,Moderate,None,Normal,Negative
0.08333333333333333,32,103,177,120,Pink,>2 sec,Dull/Depressed,Mild,None,Moderate,Mild,Present,Moderate,Moderate,None,Bruising,Positive
1.0,112,100,171,133,Pink,1-2 sec,BAR,None,None,None,None,None,None,None,None,Normal,Negative
0.5,67,102,101,45,Pink,1-2 sec,BAR,None,None,Moderate,Mild,None,None,None,Present,Normal,Negative
5.0,51,99,129,53,Pink,>2 sec,Dull/Depressed,Mild,Mild,Moderate,None,None,None,None,None,Normal,Negative
0.16666666666666666,76,101,127,127,Pale,UTO,BAR,Mild,None,Mild,Mild,None,None,None,None,Normal,Negative
1.0,39,101,120,57,Pink,<1 sec,QAR,Mild,Mild,Mild,Mild,None,Mild,None,None,Bruising,Negative
1.0,48,101,94,48,Light Pink,1-2 sec,Dull/Depressed,None,Moderate,None,None,None,None,None,None,Normal,Negative
1.0,21,102,188,125,Light Pink,<1 sec,Dull/Depressed,Mild,Chronic,None,None,None,None,None,None,Normal,Negative
1.0,26,103,112,48,Light Pink,<1 sec,BAR,None,None,Moderate,Mild,None,Moderate,Mild,Present,Bruising,Positive
1.0,18,102,117,142,Pale,UTO,QAR,Mild,None,Severe,Mild,None,None,None,None,Bruising,Negative
5.0,71,103,169,41,Pink,1-2 sec,Dull/Depressed,Moderate,None,Mild,Moderate,None,None,Moderate,None,Bruising,Positive
12.0,10,101,104,41,Light Pink,<1 sec,QAR,None,None,Moderate,Mild,None,None,Mild,None,Normal,Negative
5.0,22,99,173,48,Pink,<1 sec,BAR,Mild,Chronic,None,Mild,None,None,None,Present,Bruising,Negative
1.0,42,102,160,143,Pink,1-2 sec,BAR,Mild,None,None,Moderate,None,None,Mild,None,Normal,Negative
2.0,12,101,133,29,Pink,>2 sec,BAR,Mild,Mild,None,None,None,None,Mild,None,Normal,Negative
2.0,88,99,159,128,Light Pink,>2 sec,Dull/Depressed,None,None,Mild,None,None,None,None,None,Normal,Negative
1.0,22,102,178,124,Pink,>2 sec,QAR,None,None,None,None,None,None,None,Present,Bruising,Negative
2.0,20,105,121,133,Pink,1-2 sec,Dull/Depressed,None,Mild,Mild,Moderate,Present,Mild,Mild,Present,Petechia,Positive
1.0,54,99,166,26,Pink,1-2 sec,QAR,Mild,None,None,None,None,Mild,None,None,Normal,Negative
10.0,40,102,124,122,Light Pink,1-2 sec,QAR,Mild,None,None,None,None,None,None,None,Normal,Negative
1.0,6,102,141,29,Pink,1-2 sec,QAR,Mild,Mild,None,None,None,None,None,Present,Normal,Negative
2.0,60,99,118,137,Pink,1-2 sec,QAR,None,None,None,None,None,None,None,None,Bruising,Negative
2.0,77,101,147,51,Pale,UTO,BAR,None,None,None,None,None,None,Moderate,None,Normal,Negative
2.0,64,100,119,137,Pink,<1 sec,Dull/Depressed,Moderate,None,Moderate,Mild,None,None,None,None,Normal,Negative
1.0,50,100,152,27,Pink,<1 sec,Dull/Depressed,Mild,None,None,None,None,None,None,None,Normal,Negative
0.16666666666666666,43,100,126,135,Pink,1-2 sec,Dull/Depressed,None,None,Moderate,Mild,None,None,None,Present,Normal,Negative
1.0,86,102,182,135,Pink,1-2 sec,BAR,None,Mild,Mild,None,None,None,None,None,Bruising,Negative
3.0,90,104,162,130,Pink,1-2 sec,Dull/Depressed,Moderate,Mild,None,Mild,Present,Moderate,Mild,Present,Bruising,Positive
1.0,65,100,171,139,Pink,1-2 sec,QAR,None,None,Moderate,Moderate,None,None,None,None,Bruising,Negative
16.0,80,100,180,127,Pink,<1 sec,QAR,Mild,None,Moderate,None,None,Mild,Mild,None,Normal,Negative
3.0,76,102,145,33,Pink,1-2 sec,QAR,Moderate,Mild,Mild,None,None,None,None,None,Normal,Negative
0.08333333333333333,59,101,141,35,Light Pink,1-2 sec,BAR,None,Mild,None,Mild,None,Mild,None,None,Normal,Negative
5.0,80,99,100,60,Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,None,None,None,None,None,Normal,Negative
1.0,69,100,172,150,Pink,1-2 sec,BAR,Mild,None,None,None,None,None,None,None,Normal,Negative
4.0,73,99,155,22,Pink,>2 sec,BAR,Chronic,Mild,None,None,None,None,None,None,Normal,Negative
1.0,9,99,171,18,Pale,UTO,QAR,Chronic,None,None,None,None,Mild,Mild,None,Normal,Negative
4.0,49,99,157,19,Pink,1-2 sec,Anxious/Agitated,Mild,Mild,Moderate,Mild,None,None,None,None,Normal,Negative
4.0,59,102,171,133,Pink,1-2 sec,BAR,Mild,None,None,None,None,None,None,Present,Bruising,Negative
2.0,88,105,116,26,Light Pink,1-2 sec,Dull/Depressed,Mild,None,Mild,Mild,None,Moderate,Moderate,Present,Normal,Positive
4.0,33,99,125,26,Pink,>2 sec,Dull/Depressed,Mild,Mild,None,None,None,None,None,None,Normal,Negative
0.16666666666666666,68,100,119,143,Pink,<1 sec,Dull/Depressed,Mild,None,Moderate,Mild,None,None,None,None,Normal,Negative
0.08333333333333333,78,101,95,142,Pink,1-2 sec,BAR,Chronic,None,Mild,Moderate,None,Mild,None,None,Normal,Negative
0.08333333333333333,72,102,159,133,Pink,1-2 sec,QAR,None,None,None,None,None,None,None,None,Normal,Negative
0.08333333333333333,84,99,125,31,Pink,1-2 sec,QAR,Mild,Mild,None,Moderate,None,None,None,None,Bruising,Negative
16.0,69,99,128,129,Pink,<1 sec,BAR,Mild,Mild,None,Mild,Present,None,Mild,None,Petechiae,Negative
1.0,24,104,115,39,Pink,<1 sec,Dull/Depressed,Mild,Mild,Mild,Mild,None,Moderate,Mild,Present,Normal,Positive
13.0,6,100,159,53,Pink,>2 sec,BAR,Mild,Mild,None,None,None,None,None,None,Bruising,Negative
0.8333333333333334,65,100,124,145,Pink,1-2 sec,BAR,Mild,Mild,None,None,None,None,None,None,Bruising,Negative
1.0,73,100,170,27,Pink,<1 sec,Anxious/Agitated,Chronic,Moderate,Moderate,Mild,None,None,None,None,Normal,Negative
6.0,59,102,122,135,Pink,<1 sec,QAR,None,Mild,None,None,None,Mild,None,None,Normal,Negative
