fipscode,state,county,ixodes_scapularis_county_status_2016,ixodes_pacificus_county_status_2016,ixodes_scapularis_county_status_2018,ixodes_pacificus_county_status_2018,ixodes_scapularis_county_status_2019,ixodes_pacificus_county_status_2019,ixodes_scapularis_county_status_2020,ixodes_pacificus_county_status_2020,ixodes_scapularis_county_status_2021,ixodes_pacificus_county_status_2021
13175,GA,Laurens County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13177,GA,Lee County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13179,GA,Liberty County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13181,GA,Lincoln County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13183,GA,Long County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13185,GA,Lowndes County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13187,GA,Lumpkin County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13189,GA,McDuffie County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13191,GA,McIntosh County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13193,GA,Macon County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13195,GA,Madison County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13197,GA,Marion County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13199,GA,Meriwether County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13201,GA,Miller County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13205,GA,Mitchell County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13207,GA,Monroe County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13209,GA,Montgomery County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13211,GA,Morgan County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13213,GA,Murray County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13215,GA,Muscogee County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13217,GA,Newton County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13219,GA,Oconee County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13221,GA,Oglethorpe County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13223,GA,Paulding County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13225,GA,Peach County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13227,GA,Pickens County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13229,GA,Pierce County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13231,GA,Pike County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13233,GA,Polk County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13235,GA,Pulaski County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13237,GA,Putnam County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13239,GA,Quitman County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13241,GA,Rabun County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13243,GA,Randolph County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13245,GA,Richmond County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13247,GA,Rockdale County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13249,GA,Schley County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13251,GA,Screven County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13253,GA,Seminole County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13255,GA,Spalding County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13257,GA,Stephens County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13259,GA,Stewart County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13261,GA,Sumter County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13263,GA,Talbot County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13265,GA,Taliaferro County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13267,GA,Tattnall County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13269,GA,Taylor County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13271,GA,Telfair County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13273,GA,Terrell County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13275,GA,Thomas County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13277,GA,Tift County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13279,GA,Toombs County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13281,GA,Towns County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13283,GA,Treutlen County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13285,GA,Troup County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13287,GA,Turner County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13289,GA,Twiggs County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13291,GA,Union County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13293,GA,Upson County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13295,GA,Walker County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13297,GA,Walton County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13299,GA,Ware County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13301,GA,Warren County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13303,GA,Washington County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
13305,GA,Wayne County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13307,GA,Webster County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13309,GA,Wheeler County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13311,GA,White County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13313,GA,Whitfield County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13315,GA,Wilcox County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
13317,GA,Wilkes County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13319,GA,Wilkinson County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
13321,GA,Worth County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16001,ID,Ada County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16003,ID,Adams County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16005,ID,Bannock County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16007,ID,Bear Lake County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16009,ID,Benewah County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16011,ID,Bingham County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16013,ID,Blaine County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16015,ID,Boise County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16017,ID,Bonner County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16019,ID,Bonneville County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16021,ID,Boundary County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16023,ID,Butte County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16025,ID,Camas County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16027,ID,Canyon County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16029,ID,Caribou County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16031,ID,Cassia County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16033,ID,Clark County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16035,ID,Clearwater County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16037,ID,Custer County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16039,ID,Elmore County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16041,ID,Franklin County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16043,ID,Fremont County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16045,ID,Gem County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16047,ID,Gooding County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16049,ID,Idaho County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16051,ID,Jefferson County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16053,ID,Jerome County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16055,ID,Kootenai County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16057,ID,Latah County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16059,ID,Lemhi County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16061,ID,Lewis County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16063,ID,Lincoln County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16065,ID,Madison County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16067,ID,Minidoka County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16069,ID,Nez Perce County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16071,ID,Oneida County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16073,ID,Owyhee County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16075,ID,Payette County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16077,ID,Power County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16079,ID,Shoshone County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16081,ID,Teton County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16083,ID,Twin Falls County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16085,ID,Valley County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
16087,ID,Washington County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17001,IL,Adams County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17003,IL,Alexander County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17005,IL,Bond County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17007,IL,Boone County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
17009,IL,Brown County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17011,IL,Bureau County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17013,IL,Calhoun County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17015,IL,Carroll County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17017,IL,Cass County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
17019,IL,Champaign County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17021,IL,Christian County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17023,IL,Clark County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17025,IL,Clay County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17027,IL,Clinton County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17029,IL,Coles County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17031,IL,Cook County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17033,IL,Crawford County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17035,IL,Cumberland County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17037,IL,DeKalb County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17039,IL,De Witt County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17041,IL,Douglas County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17043,IL,DuPage County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17045,IL,Edgar County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17047,IL,Edwards County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17049,IL,Effingham County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17051,IL,Fayette County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17053,IL,Ford County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17055,IL,Franklin County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17057,IL,Fulton County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17059,IL,Gallatin County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17061,IL,Greene County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17063,IL,Grundy County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17065,IL,Hamilton County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17067,IL,Hancock County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
17069,IL,Hardin County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17071,IL,Henderson County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17073,IL,Henry County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17075,IL,Iroquois County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17077,IL,Jackson County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17079,IL,Jasper County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17081,IL,Jefferson County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17083,IL,Jersey County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17085,IL,Jo Daviess County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17087,IL,Johnson County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17089,IL,Kane County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17091,IL,Kankakee County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17093,IL,Kendall County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17095,IL,Knox County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17097,IL,Lake County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17099,IL,LaSalle County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17101,IL,Lawrence County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17103,IL,Lee County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17105,IL,Livingston County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17107,IL,Logan County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17109,IL,McDonough County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17111,IL,McHenry County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17113,IL,McLean County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17115,IL,Macon County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17117,IL,Macoupin County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17119,IL,Madison County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17121,IL,Marion County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17123,IL,Marshall County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17125,IL,Mason County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17127,IL,Massac County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17129,IL,Menard County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17131,IL,Mercer County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17133,IL,Monroe County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17135,IL,Montgomery County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17137,IL,Morgan County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17139,IL,Moultrie County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17141,IL,Ogle County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17143,IL,Peoria County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17145,IL,Perry County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17147,IL,Piatt County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17149,IL,Pike County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17151,IL,Pope County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17153,IL,Pulaski County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17155,IL,Putnam County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17157,IL,Randolph County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17159,IL,Richland County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17161,IL,Rock Island County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17163,IL,St. Clair County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17165,IL,Saline County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17167,IL,Sangamon County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17169,IL,Schuyler County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17171,IL,Scott County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17173,IL,Shelby County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17175,IL,Stark County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17177,IL,Stephenson County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
17179,IL,Tazewell County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17181,IL,Union County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17183,IL,Vermilion County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17185,IL,Wabash County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17187,IL,Warren County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17189,IL,Washington County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17191,IL,Wayne County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17193,IL,White County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17195,IL,Whiteside County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
17197,IL,Will County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17199,IL,Williamson County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
17201,IL,Winnebago County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
17203,IL,Woodford County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18001,IN,Adams County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18003,IN,Allen County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18005,IN,Bartholomew County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18007,IN,Benton County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18009,IN,Blackford County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18011,IN,Boone County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18013,IN,Brown County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
18015,IN,Carroll County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18017,IN,Cass County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18019,IN,Clark County,Reported,No records,Established,No records,Established,No records,Established,No records,Established,No records
18021,IN,Clay County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18023,IN,Clinton County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
18025,IN,Crawford County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
18027,IN,Daviess County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
18029,IN,Dearborn County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18031,IN,Decatur County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
18033,IN,DeKalb County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18035,IN,Delaware County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18037,IN,Dubois County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18039,IN,Elkhart County,Reported,No records,Established,No records,Established,No records,Established,No records,Established,No records
18041,IN,Fayette County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18043,IN,Floyd County,No records,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18045,IN,Fountain County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
18047,IN,Franklin County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18049,IN,Fulton County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18051,IN,Gibson County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
18053,IN,Grant County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18055,IN,Greene County,Reported,No records,Established,No records,Established,No records,Established,No records,Established,No records
18057,IN,Hamilton County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18059,IN,Hancock County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18061,IN,Harrison County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18063,IN,Hendricks County,Reported,No records,Established,No records,Established,No records,Established,No records,Established,No records
18065,IN,Henry County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18067,IN,Howard County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18069,IN,Huntington County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
18071,IN,Jackson County,No records,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18073,IN,Jasper County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18075,IN,Jay County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18077,IN,Jefferson County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18079,IN,Jennings County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18081,IN,Johnson County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18083,IN,Knox County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
18085,IN,Kosciusko County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18087,IN,LaGrange County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18089,IN,Lake County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18091,IN,LaPorte County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18093,IN,Lawrence County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18095,IN,Madison County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18097,IN,Marion County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
18099,IN,Marshall County,Reported,No records,Established,No records,Established,No records,Established,No records,Established,No records
18101,IN,Martin County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18103,IN,Miami County,No records,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
18105,IN,Monroe County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18107,IN,Montgomery County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18109,IN,Morgan County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18111,IN,Newton County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18113,IN,Noble County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18115,IN,Ohio County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18117,IN,Orange County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18119,IN,Owen County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18121,IN,Parke County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18123,IN,Perry County,No records,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18125,IN,Pike County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18127,IN,Porter County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18129,IN,Posey County,Reported,No records,Established,No records,Established,No records,Established,No records,Established,No records
18131,IN,Pulaski County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18133,IN,Putnam County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18135,IN,Randolph County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18137,IN,Ripley County,Reported,No records,Reported,No records,Established,No records,Established,No records,Established,No records
18139,IN,Rush County,No records,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18141,IN,St. Joseph County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18143,IN,Scott County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18145,IN,Shelby County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18147,IN,Spencer County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18149,IN,Starke County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18151,IN,Steuben County,Reported,No records,Reported,No records,Established,No records,Established,No records,Established,No records
18153,IN,Sullivan County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18155,IN,Switzerland County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18157,IN,Tippecanoe County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18159,IN,Tipton County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18161,IN,Union County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18163,IN,Vanderburgh County,Reported,No records,Established,No records,Established,No records,Established,No records,Established,No records
18165,IN,Vermillion County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
18167,IN,Vigo County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18169,IN,Wabash County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
18171,IN,Warren County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18173,IN,Warrick County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
18175,IN,Washington County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
18177,IN,Wayne County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18179,IN,Wells County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
18181,IN,White County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
18183,IN,Whitley County,Reported,No records,Reported,No records,Reported,No records,Established,No records,Established,No records
19001,IA,Adair County,No records,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
19003,IA,Adams County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
19005,IA,Allamakee County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
19007,IA,Appanoose County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
19009,IA,Audubon County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
19011,IA,Benton County,Reported,No records,Established,No records,Established,No records,Established,No records,Established,No records
19013,IA,Black Hawk County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
19015,IA,Boone County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
19017,IA,Bremer County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
19019,IA,Buchanan County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
